LEA,District,In-District FTE Pupils,Out-of-District FTE Pupils,Total FTE Pupils,Administration,Instructional Leadership,Teachers,Other Teaching Services,Professional Development,"Instructional Materials, Equipment and Technology","Guidance, Counseling and Testing",Pupil Services,Operations and Maintenance,"Insurance, Retirement Programs and Other","Total
In-District Expenditures",Total Expenditures
0001,Abington,1911.1,114.3,2025.4,424.0101826,705.5343572,5378.047737,1043.253927,258.7304432,888.2945162,383.4535085,1202.659772,838.4204647,2434.297949,13556.70286,14682.14591
0002,Acton,,,,,,,,,,,,,,,
0003,Acushnet,957.2,306.8,1264,550.8400021,812.3163289,5265.210886,1197.072733,85.73182198,564.6458629,390.002173,1486.565399,847.6785729,1475.441005,12675.50478,12554.35513
0005,Agawam,3855.8,120.1,3975.9,597.1124488,1032.477307,5916.870821,1624.958763,67.65314591,382.0053841,559.9486488,1325.240542,1036.360532,2620.306551,15162.93414,15930.54012
0007,Amesbury,2133.6,148.2,2281.8,419.3031262,871.9349034,6099.723772,1350.093485,69.57020529,224.8040026,472.2134655,1334.102995,1244.723238,3041.120894,15127.59009,15983.00617
0008,Amherst,1124.6,109.6,1234.2,1008.024186,1117.324382,8009.241508,2827.323493,643.373644,507.0762938,615.5690912,1252.758314,1598.130002,4348.812911,21927.63383,21669.82707
0009,Andover,6049.4,123.4,6172.8,419.3963038,1037.096737,6532.477932,1776.975568,208.7610342,252.3680034,626.292029,1269.401759,1469.494661,2479.560287,16071.82431,17042.99103
0010,Arlington,5494.4,157,5651.4,519.8751147,932.4779266,5029.517387,1061.149363,193.2991662,188.1984566,669.0762576,1171.649815,1033.143452,2402.339684,13200.72662,14332.04122
0014,Ashland,2698.6,108.1,2806.7,429.5055251,842.5042874,5632.5858,1015.430453,107.0842622,339.3350849,601.0834136,1187.65776,914.5838583,1988.577088,13058.34753,13813.68312
0016,Attleboro,5768.3,438.6,6206.9,496.0997972,654.1222717,5308.394858,1189.478093,159.2351958,194.8855347,355.3527712,1144.977111,1225.84328,2291.720093,13020.10901,13419.51286
0017,Auburn,2484.4,56.4,2540.8,352.4057841,924.6074304,4952.097871,1201.897533,213.5681694,327.1713049,442.1321164,1291.853763,953.0467437,2452.698193,13111.47891,13364.81101
0018,Avon,708.4,18.4,726.8,705.7566347,1118.685771,6720.989554,486.0587239,132.7752682,754.3958216,385.7523998,1066.897233,1290.066347,4048.994918,16710.37267,17177.2317
0020,Barnstable,4874.4,734.1,5608.5,270.6687203,1269.715815,5977.639845,1614.470608,94.2475874,371.5525131,520.9123584,1814.664205,1319.826221,2430.201802,15683.89967,15629.8563
0023,Bedford,2600.5,66.7,2667.2,768.5233417,1354.883226,7264.562069,965.1541011,247.6567083,399.1056835,550.5063911,1326.486522,1023.905987,2354.885599,16255.66963,17959.19223
0024,Belchertown,2326.3,175.2,2501.5,560.4106865,849.8499764,4698.207454,1139.310063,169.5271461,355.7748356,478.2224992,1405.561621,1022.010919,2075.33981,12754.21501,13065.77589
0025,Bellingham,2246.3,224.7,2471,375.6773361,837.7625428,5559.057561,1384.551039,194.0733651,233.760406,455.9586876,1450.771046,1372.072297,2451.551885,14315.23617,14805.76002
0026,Belmont,4419.6,106.2,4525.8,450.834728,874.2540049,5212.794823,956.053489,94.06824147,435.7059462,371.4372341,895.1323265,959.76331,1959.357858,12209.40196,13655.86436
0027,Berkley,932.9,11,943.9,470.872548,833.6949298,4987.759674,985.6726337,201.8329939,523.9543359,174.0883267,1037.208704,778.8015865,1516.398328,11510.28406,11465.97203
0028,Berlin,190.7,10.3,201,981.3424227,2337.933928,6656.240168,1711.468275,108.5579444,1141.331935,396.428946,1049.942318,1777.897221,3004.504457,19165.64761,19169.52239
