ID,Account,FY15,FY16,FY17,FY18,FY19
51111,Perm Salaries - Administration,"8,839,929","9,050,946","9,144,891","9,459,871","9,797,038"
51112,Perm Salaries - Teacher,"64,242,421","68,820,231","73,128,752","78,236,968","82,691,291"
51113,Perm Salaries - Custodial,"4,183,880","4,407,248","4,369,387","4,561,998","4,683,333"
51114,Perm Salaries - Food Service,"780,531","735,357","935,726","450,000","472,500"
51115,Perm Salaries - Clerical,"3,157,761","3,220,197","3,182,829","3,338,998","3,357,927"
51116,Perm Salaries - Paraprof Aids,"6,548,742","6,758,087","7,101,693","7,765,411","8,356,794"
51117,Perm Salaries - Full Time Othe,"6,374,764","6,382,630","6,539,110","6,898,378","7,445,685"
51118,Perm Salaries - Aides 2/3/4 hr,"752,516","813,875","914,896","798,702","885,225"
51119,Perm Salaries - Part Time Other,-,-,"394,738","547,091","527,829"
51201,Temp Salaries - Professional,"1,887,416","2,056,583","1,933,821","3,342,383","3,609,187"
51202,Temporary Salaries/Wages PTO,"194,703","245,268","166,188","197,531","197,531"
51203,Substitute Teachers - Daily,"1,423,915","1,592,327","1,179,489","1,199,825","1,368,647"
51204,Extended Term Substitute,"424,001","470,337","675,088","527,875","691,875"
51206,Temporary Clerical Help,"60,042","35,738","31,040",-,-
51301,Overtime/Peakload Requirement,"500,112","549,442","574,400","585,244","598,293"
51410,Attendance Incentives,"97,216",-,-,"105,000","105,000"
51503,Grievance Payments,"15,533","20,191","11,553",-,-
51504,Worker's Compensation Payments,"191,489","275,596","214,362","241,468","241,468"
51710,Health Insurance,"23,056,943","23,087,744","23,118,016","23,320,692","23,787,106"
51720,Dental Insurance,"1,284,835","1,284,637","1,295,473","1,377,493","1,414,126"
51730,Pensions,"3,941,402","4,138,472","4,416,035","4,636,837","4,942,868"
51750,Medicare,"1,342,982","1,419,012","1,466,010","1,502,063","1,683,278"
51770,Fringe Benefits,-,-,-,"250,000","300,000"
52102,Fuel Oil,"612,550","192,642","175,000","250,000","65,000"
52103,Electricity,"2,110,000","2,299,688","2,135,823","2,450,000","2,545,000"
52104,Natural Gas,"587,500","433,500","602,807","600,000","635,000"
52105,Chemicals,"12,000","9,100","7,755","13,500","13,500"
