ORG_CODE,District_Name,COUNTY,District_Total,PK,K,Gr.1,Gr.2,Gr.3,Gr.4,Gr.5,Gr.6,Gr.7,Gr.8,Gr.9,Gr.10,Gr.11,Gr.12,SPED_Beyond_Grade_12
0001,Abington,Plymouth," 1,916 ",69,134,125,164,148,143,180,173,159,169,124,109,123,92,4
0003,Acushnet,Bristol, 955 ,50,84,99,102,107,96,105,121,77,114,0,0,0,0,0
0005,Agawam,Hampden," 3,918 ",151,296,251,260,302,275,290,304,256,311,299,309,293,315,6
0007,Amesbury,Essex," 2,150 ",51,127,158,174,170,166,173,158,178,170,154,140,156,174,1
0008,Amherst,Hampshire," 1,148 ",66,126,141,151,157,181,176,150,0,0,0,0,0,0,0
0009,Andover,Essex," 6,009 ",73,355,425,412,449,472,505,506,483,523,446,459,421,462,18
0010,Arlington,Middlesex," 5,524 ",70,551,489,505,478,462,471,421,409,378,332,350,312,295,1
0014,Ashland,Middlesex," 2,701 ",131,213,187,219,214,208,198,179,206,202,202,172,183,187,0
0016,Attleboro,Bristol," 5,909 ",187,425,449,417,454,449,459,410,472,453,449,415,454,406,10
0017,Auburn,Worcester," 2,523 ",88,195,191,181,188,172,177,206,210,208,174,197,175,157,4
0018,Avon,Norfolk, 714 ,17,46,51,52,53,57,60,59,59,61,53,49,48,45,4
0020,Barnstable,Barnstable," 4,948 ",126,307,325,358,360,446,406,357,397,377,380,372,393,334,10
0023,Bedford,Middlesex," 2,608 ",30,192,200,206,202,182,182,191,207,158,226,206,220,206,0
0024,Belchertown,Hampshire," 2,354 ",29,141,156,161,184,182,191,205,188,207,179,185,175,167,4
0025,Bellingham,Norfolk," 2,257 ",96,161,158,183,175,171,188,170,183,187,159,152,130,144,0
0026,Belmont,Middlesex," 4,466 ",61,350,329,391,364,350,348,341,343,325,330,312,332,290,0
0027,Berkley,Bristol, 929 ,59,86,95,90,112,95,88,99,106,99,0,0,0,0,0
0028,Berlin,Worcester, 190 ,18,28,33,20,26,29,36,0,0,0,0,0,0,0,0
0030,Beverly,Essex," 4,525 ",112,319,348,376,387,366,323,332,349,328,310,301,333,332,9
0031,Billerica,Middlesex," 4,882 ",144,378,395,382,405,406,381,378,387,394,360,274,310,280,8
0035,Boston,Suffolk," 53,263 ",2934,4055,4005,4286,4311,4259,3478,3076,3313,3447,4108,3895,4002,3900,194
0036,Bourne,Barnstable," 1,935 ",66,101,146,161,155,159,163,174,183,191,125,105,108,94,4
